Frame,X Position [µm],Y Position [µm],Intensity,Fit Radius
55,7.02656,22.2336,5882.1,1.1
55,7.45616,23.5296,10840,1.1
55,15.69536,27.208,13212,1.1
55,9.28976,8.17808,13697,1.1
56,9.61136,9.18432,8241.1,1.1
56,7.15056,12.03984,7999.5,1.1
56,7.71312,13.33216,8595.7,1.1
56,16.8048,15.3272,9786.3,1.1
56,18.12,17.0896,8892,1.1
56,19.6448,17.7648,7743.3,1.1
56,16.2384,18.5952,8904.5,1.1
56,14.72016,24.1456,7416.8,1.1
56,21.6048,4.02288,6751.5,1.1
57,9.26,8.15744,10870,1.1
57,6.11296,10.60448,8253,1.1
57,7.55584,10.73664,6105.5,1.1
57,10.95008,15.152,8709.8,1.1
57,16.7824,15.34432,9407.5,1.1
57,19.6592,15.36992,9035.4,1.1
57,6.57504,18.5696,5074,1.1
57,19.6512,23.6672,8253.5,1.1
57,14.1896,26.9456,9676.7,1.1
57,12.48832,1.150128,7054.6,1.1
58,7.51792,10.88144,6760.5,1.1
58,15.96656,14.35264,7953.3,1.1
58,16.336,18.6384,7946.2,1.1
58,20.2,21.4448,8170.1,1.1
58,7.53824,23.5424,9885.8,1.1
58,9.57952,9.24352,8365.8,1.1
59,16.7904,15.36032,9633.5,1.1
59,19.5664,15.37312,11775,1.1
59,8.18832,15.4952,7314.6,1.1
59,16.232,18.7456,10013,1.1
59,17.968,23.7136,11442,1.1
59,19.5568,27.7056,7481,1.1
59,14.08752,8.74864,9006.7,1.1
60,18.264,9.06544,6083.8,1.1
60,6.07552,10.69712,6082.9,1.1
60,19.56,15.348,10190,1.1
60,16.3216,18.712,9570.1,1.1
60,19.1728,18.6496,8921.9,1.1
60,12.75664,22.8896,8765.5,1.1
60,18.4176,23.7008,9506.7,1.1
60,17.5136,24.5952,8678.7,1.1
60,14.08768,26.9456,6958.4,1.1
60,15.9688,14.3864,7399.3,1.1
61,16.2096,15.24512,10283,1.1
61,11.19312,15.98272,5900.9,1.1
61,16.3296,18.6288,13547,1.1
61,13.736,19.48,6321.4,1.1
61,18.4976,23.696,10283,1.1
61,19.664,23.6768,6273.6,1.1
61,16.2224,19.1744,8867.5,1.1
61,10.61216,4.0352,6885.2,1.1
62,12.636,7.31104,8118.7,1.1
62,9.17056,8.2,11429,1.1
62,7.52432,10.89696,6174.8,1.1
62,10.85632,14.31328,8872.9,1.1
62,15.1248,14.42288,9441.8,1.1
62,17.9472,23.6384,10291,1.1
62,18.568,23.7392,8477.1,1.1
62,17.7296,4.70768,6420.2,1.1
63,13.2472,11.19952,8667.2,1.1
63,7.29328,11.90304,9655.1,1.1
63,20.5664,12.55664,7390.1,1.1
63,10.78208,14.38048,10531,1.1
63,16.2976,18.6544,11468,1.1
63,20.9696,20.088,9009.6,1.1
63,20.1472,21.4704,7878.7,1.1
63,19.7792,23.736,9100.1,1.1
63,7.86224,23.8096,7695.3,1.1
63,18.9488,7.34144,7843.8,1.1
64,18.1072,10.9496,9456.7,1.1
64,18.8512,12.81168,7242.2,1.1
64,5.88464,13.02912,6628.4,1.1
64,7.70416,13.2864,6800.9,1.1
64,19.9248,15.34608,10985,1.1
64,18.9072,17.968,11513,1.1
64,16.3584,18.5216,11368,1.1
64,7.97872,19.0208,7377.3,1.1
64,19.7264,23.6992,7456.2,1.1
64,22.184,7.14032,6712.4,1.1
65,9.1704,8.16192,8576.2,1.1
65,20.1744,13.97024,10619,1.1
65,16.2304,15.27088,10928,1.1
65,19.5536,15.3856,9094.7,1.1
65,10.16032,24.0752,9029.1,1.1
65,16.8432,15.2048,8209.1,1.1
65,18.2368,11.03696,10980,1.1
66,20.3696,17.912,10318,1.1
66,19.9904,19.0304,7727.1,1.1
66,19.6944,23.8528,11888,1.1
66,9.21248,8.2968,8706,1.1
67,9.588,9.26272,7376.1,1.1
67,19.4912,15.25456,12598,1.1
67,10.0808,15.66592,8309.4,1.1
67,3.74224,19.8304,5818,1.1
67,9.40928,21.8016,6184.3,1.1
67,19.9856,15.45536,9430.2,1.1
67,9.04544,4.79264,9206.1,1.1
68,9.12752,8.2792,7469.6,1.1
68,13.69248,8.6592,8689.6,1.1
68,10.89664,14.3104,12490,1.1
68,12.8584,15.62624,9311.8,1.1
68,8.80288,21.144,7335.1,1.1
68,18.0688,22.0304,6210.5,1.1
68,6.89072,22.36,5992.1,1.1
68,19.2304,22.5168,10257,1.1
68,15.00656,24.2544,9093.7,1.1
68,17.7568,24.3632,9181.4,1.1
68,9.38336,24.864,7487.5,1.1
68,19.1088,6.61296,9735.6,1.1
69,14.98928,11.3136,8610.8,1.1
69,12.93232,15.688,8630.2,1.1
69,19.3008,22.4944,10834,1.1
69,18.5712,23.704,12561,1.1
69,15.09152,24.2784,7062,1.1
69,10.19616,0.977232,6992.3,1.1
70,14.39088,4.21312,7969.5,1.1
70,12.504,7.59408,7645.5,1.1
70,7.49568,10.77344,8004.5,1.1
70,20.4912,12.48992,6761,1.1
70,11.99824,13.45936,8576.7,1.1
70,9.57888,13.57872,10539,1.1
